Utah Jazz,94,Toronto Raptors,104,0,0,0,0,0,0,0,0
Sacramento Kings,104,Dallas Mavericks,101,0,0,0,0,0,0,0,0
Oklahoma City Thunder,106,Golden State Warriors,121,0,0,0,0,0,0,0,0
Phoenix Suns,92,Miami Heat,108,0,0,0,0,0,0,0,0
San Antonio Spurs,94,New Orleans Pelicans,86,0,0,0,0,0,0,0,0
New York Knicks,104,Boston Celtics,105,0,0,0,0,0,0,0,0
Indiana Pacers,101,Charlotte Hornets,108,0,0,0,0,0,0,0,0
Washington Wizards,83,Cleveland Cavaliers,108,0,0,0,0,0,0,0,0
Brooklyn Nets,121,Denver Nuggets,120,0,0,0,0,0,0,0,0
Atlanta Hawks,106,Los Angeles Lakers,77,0,0,0,0,0,0,0,0
Utah Jazz,88,Memphis Grizzlies,94,0,0,0,0,0,0,0,0
Minnesota Timberwolves,101,Milwaukee Bucks,116,0,0,0,0,0,0,0,0
Phoenix Suns,102,Orlando Magic,84,0,0,0,0,0,0,0,0
Miami Heat,112,Philadelphia 76ers,102,0,0,0,0,0,0,0,0
Portland Trail Blazers,115,Toronto Raptors,117,0,0,0,0,0,0,0,0
Houston Rockets,100,Chicago Bulls,108,0,0,0,0,0,0,0,0
Boston Celtics,103,Cleveland Cavaliers,120,0,0,0,0,0,0,0,0
Atlanta Hawks,107,Los Angeles Clippers,97,0,0,0,0,0,0,0,0
Brooklyn Nets,118,Minnesota Timberwolves,132,0,0,0,0,0,0,0,0
Utah Jazz,106,New Orleans Pelicans,94,0,0,0,0,0,0,0,0
Detroit Pistons,89,New York Knicks,102,0,0,0,0,0,0,0,0
Sacramento Kings,94,San Antonio Spurs,104,0,0,0,0,0,0,0,0
Indiana Pacers,100,Washington Wizards,99,0,0,0,0,0,0,0,0
Dallas Mavericks,114,Denver Nuggets,116,0,0,0,0,0,0,0,0
Portland Trail Blazers,103,Detroit Pistons,123,0,0,0,0,0,0,0,0
Golden State Warriors,95,Los Angeles Lakers,112,0,0,0,0,0,0,0,0
Phoenix Suns,109,Memphis Grizzlies,100,0,0,0,0,0,0,0,0
Philadelphia 76ers,98,Miami Heat,103,0,0,0,0,0,0,0,0
Oklahoma City Thunder,104,Milwaukee Bucks,96,0,0,0,0,0,0,0,0
Houston Rockets,113,Toronto Raptors,107,0,0,0,0,0,0,0,0
Milwaukee Bucks,90,Chicago Bulls,100,0,0,0,0,0,0,0,0
Minnesota Timberwolves,103,Charlotte Hornets,108,0,0,0,0,0,0,0,0
Memphis Grizzlies,106,Cleveland Cavaliers,103,0,0,0,0,0,0,0,0
Los Angeles Clippers,109,Dallas Mavericks,90,0,0,0,0,0,0,0,0
Orlando Magic,113,Golden State Warriors,119,0,0,0,0,0,0,0,0
San Antonio Spurs,91,Indiana Pacers,99,0,0,0,0,0,0,0,0
Sacramento Kings,112,New Orleans Pelicans,115,0,0,0,0,0,0,0,0
New York Knicks,94,Denver Nuggets,110,0,0,0,0,0,0,0,0
Orlando Magic,98,Los Angeles Lakers,107,0,0,0,0,0,0,0,0
San Antonio Spurs,116,Minnesota Timberwolves,91,0,0,0,0,0,0,0,0
Washington Wizards,109,Portland Trail Blazers,116,0,0,0,0,0,0,0,0
Brooklyn Nets,99,Toronto Raptors,104,0,0,0,0,0,0,0,0
Atlanta Hawks,91,Utah Jazz,84,0,0,0,0,0,0,0,0
Memphis Grizzlies,96,Boston Celtics,116,0,0,0,0,0,0,0,0
New Orleans Pelicans,113,Charlotte Hornets,122,0,0,0,0,0,0,0,0
Detroit Pistons,102,Dallas Mavericks,96,0,0,0,0,0,0,0,0
Utah Jazz,94,Golden State Warriors,115,0,0,0,0,0,0,0,0
Miami Heat,108,Milwaukee Bucks,114,0,0,0,0,0,0,0,0
Los Angeles Clippers,108,Oklahoma City Thunder,120,0,0,0,0,0,0,0,0
Houston Rockets,118,Philadelphia 76ers,104,0,0,0,0,0,0,0,0
New York Knicks,128,Phoenix Suns,97,0,0,0,0,0,0,0,0
Cleveland Cavaliers,120,Sacramento Kings,111,0,0,0,0,0,0,0,0
Phoenix Suns,98,Denver Nuggets,116,0,0,0,0,0,0,0,0
Cleveland Cavaliers,120,Los Angeles Lakers,108,0,0,0,0,0,0,0,0
Chicago Bulls,101,San Antonio Spurs,109,0,0,0,0,0,0,0,0
Atlanta Hawks,96,Toronto Raptors,104,0,0,0,0,0,0,0,0
Houston Rockets,102,Boston Celtics,98,0,0,0,0,0,0,0,0
Miami Heat,118,Chicago Bulls,96,0,0,0,0,0,0,0,0
Detroit Pistons,103,Charlotte Hornets,118,0,0,0,0,0,0,0,0
Portland Trail Blazers,112,Golden State Warriors,128,0,0,0,0,0,0,0,0
New York Knicks,94,Los Angeles Clippers,101,0,0,0,0,0,0,0,0
New Orleans Pelicans,114,Memphis Grizzlies,121,0,0,0,0,0,0,0,0
Minnesota Timberwolves,99,Oklahoma City Thunder,96,0,0,0,0,0,0,0,0
Brooklyn Nets,89,Philadelphia 76ers,95,0,0,0,0,0,0,0,0
Orlando Magic,107,Sacramento Kings,100,0,0,0,0,0,0,0,0
Washington Wizards,93,Utah Jazz,114,0,0,0,0,0,0,0,0
Memphis Grizzlies,83,Atlanta Hawks,95,0,0,0,0,0,0,0,0
Houston Rockets,109,Charlotte Hornets,125,0,0,0,0,0,0,0,0
Indiana Pacers,112,Dallas Mavericks,105,0,0,0,0,0,0,0,0
Washington Wizards,100,Denver Nuggets,116,0,0,0,0,0,0,0,0
Phoenix Suns,116,Golden State Warriors,123,0,0,0,0,0,0,0,0
New Orleans Pelicans,92,Milwaukee Bucks,103,0,0,0,0,0,0,0,0
Detroit Pistons,125,Philadelphia 76ers,111,0,0,0,0,0,0,0,0
Orlando Magic,84,Portland Trail Blazers,121,0,0,0,0,0,0,0,0
Oklahoma City Thunder,85,San Antonio Spurs,93,0,0,0,0,0,0,0,0
Miami Heat,104,Toronto Raptors,112,0,0,0,0,0,0,0,0
Indiana Pacers,75,Atlanta Hawks,104,0,0,0,0,0,0,0,0
Milwaukee Bucks,109,Brooklyn Nets,100,0,0,0,0,0,0,0,0
Cleveland Cavaliers,114,Los Angeles Clippers,90,0,0,0,0,0,0,0,0
New York Knicks,90,Los Angeles Lakers,87,0,0,0,0,0,0,0,0
Utah Jazz,108,Sacramento Kings,99,0,0,0,0,0,0,0,0
Dallas Mavericks,107,Charlotte Hornets,96,0,0,0,0,0,0,0,0
New Orleans Pelicans,107,Golden State Warriors,125,0,0,0,0,0,0,0,0
Memphis Grizzlies,81,Houston Rockets,130,0,0,0,0,0,0,0,0
Denver Nuggets,119,Miami Heat,124,0,0,0,0,0,0,0,0
Portland Trail Blazers,94,Oklahoma City Thunder,128,0,0,0,0,0,0,0,0
Minnesota Timberwolves,104,Phoenix Suns,107,0,0,0,0,0,0,0,0
Chicago Bulls,109,Toronto Raptors,107,0,0,0,0,0,0,0,0
Cleveland Cavaliers,85,Utah Jazz,94,0,0,0,0,0,0,0,0
Detroit Pistons,81,Washington Wizards,124,0,0,0,0,0,0,0,0
Philadelphia 76ers,114,Brooklyn Nets,131,0,0,0,0,0,0,0,0
Boston Celtics,98,Indiana Pacers,103,0,0,0,0,0,0,0,0
Sacramento Kings,106,Los Angeles Lakers,98,0,0,0,0,0,0,0,0
Toronto Raptors,107,Milwaukee Bucks,89,0,0,0,0,0,0,0,0
Denver Nuggets,110,Orlando Magic,116,0,0,0,0,0,0,0,0
Los Angeles Clippers,87,San Antonio Spurs,108,0,0,0,0,0,0,0,0
Oklahoma City Thunder,130,Boston Celtics,109,0,0,0,0,0,0,0,0
Orlando Magic,99,Charlotte Hornets,107,0,0,0,0,0,0,0,0
Dallas Mavericks,98,Cleveland Cavaliers,99,0,0,0,0,0,0,0,0
Atlanta Hawks,118,Detroit Pistons,114,0,0,0,0,0,0,0,0
New York Knicks,85,Golden State Warriors,121,0,0,0,0,0,0,0,0
Los Angeles Clippers,122,Houston Rockets,106,0,0,0,0,0,0,0,0
Minnesota Timberwolves,114,Memphis Grizzlies,108,0,0,0,0,0,0,0,0
New Orleans Pelicans,123,Sacramento Kings,108,0,0,0,0,0,0,0,0
Chicago Bulls,96,Washington Wizards,117,0,0,0,0,0,0,0,0
Denver Nuggets,98,Atlanta Hawks,116,0,0,0,0,0,0,0,0
Brooklyn Nets,102,Chicago Bulls,118,0,0,0,0,0,0,0,0
Toronto Raptors,101,Indiana Pacers,94,0,0,0,0,0,0,0,0
Charlotte Hornets,109,Miami Heat,106,0,0,0,0,0,0,0,0
Memphis Grizzlies,86,Milwaukee Bucks,96,0,0,0,0,0,0,0,0
Washington Wizards,99,Philadelphia 76ers,94,0,0,0,0,0,0,0,0
Portland Trail Blazers,110,San Antonio Spurs,118,0,0,0,0,0,0,0,0
Phoenix Suns,69,Utah Jazz,103,0,0,0,0,0,0,0,0
Golden State Warriors,130,Dallas Mavericks,112,0,0,0,0,0,0,0,0
Sacramento Kings,108,Detroit Pistons,115,0,0,0,0,0,0,0,0
Minnesota Timberwolves,111,Houston Rockets,116,0,0,0,0,0,0,0,0
Phoenix Suns,95,Los Angeles Lakers,90,0,0,0,0,0,0,0,0
Portland Trail Blazers,117,New Orleans Pelicans,112,0,0,0,0,0,0,0,0
Cleveland Cavaliers,109,Orlando Magic,103,0,0,0,0,0,0,0,0
Oklahoma City Thunder,111,Philadelphia 76ers,97,0,0,0,0,0,0,0,0
Boston Celtics,91,Toronto Raptors,105,0,0,0,0,0,0,0,0
Houston Rockets,97,Atlanta Hawks,109,0,0,0,0,0,0,0,0
Utah Jazz,85,Chicago Bulls,92,0,0,0,0,0,0,0,0
Denver Nuggets,101,Charlotte Hornets,93,0,0,0,0,0,0,0,0
Brooklyn Nets,103,Detroit Pistons,115,0,0,0,0,0,0,0,0
Oklahoma City Thunder,115,Indiana Pacers,111,0,0,0,0,0,0,0,0
Los Angeles Clippers,102,Memphis Grizzlies,113,0,0,0,0,0,0,0,0
Cleveland Cavaliers,101,Miami Heat,122,0,0,0,0,0,0,0,0
Golden State Warriors,79,San Antonio Spurs,87,0,0,0,0,0,0,0,0
New York Knicks,89,Washington Wizards,99,0,0,0,0,0,0,0,0
Portland Trail Blazers,120,Dallas Mavericks,132,0,0,0,0,0,0,0,0
Utah Jazz,94,Milwaukee Bucks,85,0,0,0,0,0,0,0,0
Los Angeles Clippers,105,New Orleans Pelicans,109,0,0,0,0,0,0,0,0
Sacramento Kings,88,New York Knicks,80,0,0,0,0,0,0,0,0
Boston Celtics,120,Philadelphia 76ers,105,0,0,0,0,0,0,0,0
Orlando Magic,100,Toronto Raptors,105,0,0,0,0,0,0,0,0
Washington Wizards,117,Atlanta Hawks,102,0,0,0,0,0,0,0,0
Orlando Magic,96,Boston Celtics,107,0,0,0,0,0,0,0,0
Sacramento Kings,102,Chicago Bulls,109,0,0,0,0,0,0,0,0
San Antonio Spurs,88,Charlotte Hornets,91,0,0,0,0,0,0,0,0
Denver Nuggets,91,Cleveland Cavaliers,124,0,0,0,0,0,0,0,0
Milwaukee Bucks,91,Detroit Pistons,92,0,0,0,0,0,0,0,0
Philadelphia 76ers,75,Indiana Pacers,91,0,0,0,0,0,0,0,0
Golden State Warriors,109,Minnesota Timberwolves,104,0,0,0,0,0,0,0,0
Memphis Grizzlies,103,Phoenix Suns,97,0,0,0,0,0,0,0,0
Charlotte Hornets,105,Brooklyn Nets,100,0,0,0,0,0,0,0,0
Memphis Grizzlies,100,Los Angeles Lakers,107,0,0,0,0,0,0,0,0
Miami Heat,113,New Orleans Pelicans,99,0,0,0,0,0,0,0,0
Houston Rockets,107,Oklahoma City Thunder,111,0,0,0,0,0,0,0,0
Toronto Raptors,79,Boston Celtics,91,0,0,0,0,0,0,0,0
New York Knicks,115,Chicago Bulls,107,0,0,0,0,0,0,0,0
Milwaukee Bucks,104,Cleveland Cavaliers,113,0,0,0,0,0,0,0,0
Philadelphia 76ers,103,Denver Nuggets,104,0,0,0,0,0,0,0,0
Orlando Magic,102,Detroit Pistons,118,0,0,0,0,0,0,0,0
Los Angeles Clippers,98,Golden State Warriors,114,0,0,0,0,0,0,0,0
Utah Jazz,89,Houston Rockets,87,0,0,0,0,0,0,0,0
Sacramento Kings,104,Minnesota Timberwolves,113,0,0,0,0,0,0,0,0
Los Angeles Lakers,107,Phoenix Suns,119,0,0,0,0,0,0,0,0
Dallas Mavericks,103,Portland Trail Blazers,109,0,0,0,0,0,0,0,0
Miami Heat,88,San Antonio Spurs,112,0,0,0,0,0,0,0,0
Atlanta Hawks,122,Washington Wizards,101,0,0,0,0,0,0,0,0
Cleveland Cavaliers,95,Brooklyn Nets,104,0,0,0,0,0,0,0,0
New Orleans Pelicans,84,Indiana Pacers,92,0,0,0,0,0,0,0,0
Portland Trail Blazers,94,Los Angeles Clippers,96,0,0,0,0,0,0,0,0
Chicago Bulls,94,New York Knicks,106,0,0,0,0,0,0,0,0
Utah Jazz,91,Oklahoma City Thunder,113,0,0,0,0,0,0,0,0
Milwaukee Bucks,90,Atlanta Hawks,101,0,0,0,0,0,0,0,0
Charlotte Hornets,105,Detroit Pistons,112,0,0,0,0,0,0,0,0
Dallas Mavericks,120,Golden State Warriors,128,0,0,0,0,0,0,0,0
Toronto Raptors,109,Houston Rockets,112,0,0,0,0,0,0,0,0
Denver Nuggets,116,Los Angeles Lakers,105,0,0,0,0,0,0,0,0
Orlando Magic,97,Miami Heat,108,0,0,0,0,0,0,0,0
Phoenix Suns,94,Sacramento Kings,116,0,0,0,0,0,0,0,0
Memphis Grizzlies,104,San Antonio Spurs,110,0,0,0,0,0,0,0,0
Minnesota Timberwolves,132,Washington Wizards,129,0,0,0,0,0,0,0,0
Indiana Pacers,110,Brooklyn Nets,120,0,0,0,0,0,0,0,0
Atlanta Hawks,112,Detroit Pistons,95,0,0,0,0,0,0,0,0
Charlotte Hornets,115,Milwaukee Bucks,91,0,0,0,0,0,0,0,0
Utah Jazz,93,Minnesota Timberwolves,84,0,0,0,0,0,0,0,0
Toronto Raptors,115,New Orleans Pelicans,91,0,0,0,0,0,0,0,0
Cleveland Cavaliers,107,New York Knicks,93,0,0,0,0,0,0,0,0
San Antonio Spurs,92,Oklahoma City Thunder,111,0,0,0,0,0,0,0,0
Chicago Bulls,89,Orlando Magic,111,0,0,0,0,0,0,0,0
Boston Celtics,102,Phoenix Suns,99,0,0,0,0,0,0,0,0
Philadelphia 76ers,105,Portland Trail Blazers,108,0,0,0,0,0,0,0,0
Philadelphia 76ers,105,Golden State Warriors,117,0,0,0,0,0,0,0,0
Houston Rockets,101,Indiana Pacers,104,0,0,0,0,0,0,0,0
Denver Nuggets,90,Los Angeles Clippers,105,0,0,0,0,0,0,0,0
Washington Wizards,101,Los Angeles Lakers,88,0,0,0,0,0,0,0,0
Dallas Mavericks,111,Sacramento Kings,133,0,0,0,0,0,0,0,0
Atlanta Hawks,102,Chicago Bulls,100,0,0,0,0,0,0,0,0
Dallas Mavericks,97,Denver Nuggets,88,0,0,0,0,0,0,0,0
Boston Celtics,90,Los Angeles Clippers,114,0,0,0,0,0,0,0,0
San Antonio Spurs,101,Memphis Grizzlies,87,0,0,0,0,0,0,0,0
Brooklyn Nets,99,Miami Heat,110,0,0,0,0,0,0,0,0
Phoenix Suns,116,Minnesota Timberwolves,121,0,0,0,0,0,0,0,0
New York Knicks,91,New Orleans Pelicans,99,0,0,0,0,0,0,0,0
Sacramento Kings,93,Portland Trail Blazers,105,0,0,0,0,0,0,0,0
Oklahoma City Thunder,119,Toronto Raptors,100,0,0,0,0,0,0,0,0
Los Angeles Lakers,75,Utah Jazz,123,0,0,0,0,0,0,0,0
Houston Rockets,106,Cleveland Cavaliers,100,0,0,0,0,0,0,0,0
Oklahoma City Thunder,82,Detroit Pistons,88,0,0,0,0,0,0,0,0
Washington Wizards,94,Golden State Warriors,102,0,0,0,0,0,0,0,0
Chicago Bulls,98,Indiana Pacers,96,0,0,0,0,0,0,0,0
Brooklyn Nets,105,Orlando Magic,139,0,0,0,0,0,0,0,0
Charlotte Hornets,100,Philadelphia 76ers,85,0,0,0,0,0,0,0,0
New York Knicks,89,Dallas Mavericks,91,0,0,0,0,0,0,0,0
Miami Heat,100,Los Angeles Lakers,102,0,0,0,0,0,0,0,0
Denver Nuggets,109,Memphis Grizzlies,105,0,0,0,0,0,0,0,0
Phoenix Suns,94,Milwaukee Bucks,105,0,0,0,0,0,0,0,0
Los Angeles Clippers,99,Minnesota Timberwolves,79,0,0,0,0,0,0,0,0
Washington Wizards,111,Sacramento Kings,120,0,0,0,0,0,0,0,0
New Orleans Pelicans,92,San Antonio Spurs,100,0,0,0,0,0,0,0,0
Atlanta Hawks,97,Toronto Raptors,105,0,0,0,0,0,0,0,0
Golden State Warriors,103,Utah Jazz,96,0,0,0,0,0,0,0,0
Brooklyn Nets,87,Cleveland Cavaliers,107,0,0,0,0,0,0,0,0
Chicago Bulls,103,Houston Rockets,100,0,0,0,0,0,0,0,0
Orlando Magic,114,Indiana Pacers,94,0,0,0,0,0,0,0,0
Denver Nuggets,95,New Orleans Pelicans,101,0,0,0,0,0,0,0,0
Los Angeles Clippers,117,Oklahoma City Thunder,119,0,0,0,0,0,0,0,0
Boston Celtics,109,Portland Trail Blazers,116,0,0,0,0,0,0,0,0
Cleveland Cavaliers,110,Atlanta Hawks,108,0,0,0,0,0,0,0,0
Philadelphia 76ers,91,Charlotte Hornets,100,0,0,0,0,0,0,0,0
Dallas Mavericks,98,Detroit Pistons,89,0,0,0,0,0,0,0,0
Boston Celtics,109,Golden State Warriors,106,0,0,0,0,0,0,0,0
Toronto Raptors,99,Memphis Grizzlies,95,0,0,0,0,0,0,0,0
Orlando Magic,110,Milwaukee Bucks,113,0,0,0,0,0,0,0,0
Brooklyn Nets,91,New York Knicks,105,0,0,0,0,0,0,0,0
Washington Wizards,106,Phoenix Suns,99,0,0,0,0,0,0,0,0
Miami Heat,112,Sacramento Kings,106,0,0,0,0,0,0,0,0
Minnesota Timberwolves,85,Utah Jazz,98,0,0,0,0,0,0,0,0
Detroit Pistons,94,Chicago Bulls,90,0,0,0,0,0,0,0,0
Sacramento Kings,115,Denver Nuggets,106,0,0,0,0,0,0,0,0
Indiana Pacers,115,Philadelphia 76ers,102,0,0,0,0,0,0,0,0
Miami Heat,93,Portland Trail Blazers,110,0,0,0,0,0,0,0,0
Toronto Raptors,95,San Antonio Spurs,102,0,0,0,0,0,0,0,0
New Orleans Pelicans,106,Brooklyn Nets,87,0,0,0,0,0,0,0,0
Charlotte Hornets,103,Cleveland Cavaliers,112,0,0,0,0,0,0,0,0
Portland Trail Blazers,111,Golden State Warriors,136,0,0,0,0,0,0,0,0
Oklahoma City Thunder,110,Houston Rockets,118,0,0,0,0,0,0,0,0
Washington Wizards,109,Los Angeles Clippers,114,0,0,0,0,0,0,0,0
Boston Celtics,107,Los Angeles Lakers,100,0,0,0,0,0,0,0,0
Chicago Bulls,102,Milwaukee Bucks,98,0,0,0,0,0,0,0,0
Dallas Mavericks,88,Minnesota Timberwolves,78,0,0,0,0,0,0,0,0
Indiana Pacers,92,New York Knicks,87,0,0,0,0,0,0,0,0
Memphis Grizzlies,107,Orlando Magic,119,0,0,0,0,0,0,0,0
Utah Jazz,101,Phoenix Suns,86,0,0,0,0,0,0,0,0
Phoenix Suns,90,Atlanta Hawks,103,0,0,0,0,0,0,0,0
Oklahoma City Thunder,124,Denver Nuggets,102,0,0,0,0,0,0,0,0
Minnesota Timberwolves,124,Golden State Warriors,117,0,0,0,0,0,0,0,0
Los Angeles Lakers,81,Los Angeles Clippers,103,0,0,0,0,0,0,0,0
Chicago Bulls,92,Memphis Grizzlies,108,0,0,0,0,0,0,0,0
Detroit Pistons,89,Miami Heat,107,0,0,0,0,0,0,0,0
Cleveland Cavaliers,109,Milwaukee Bucks,80,0,0,0,0,0,0,0,0
New Orleans Pelicans,93,Philadelphia 76ers,107,0,0,0,0,0,0,0,0
Portland Trail Blazers,115,Sacramento Kings,107,0,0,0,0,0,0,0,0
Charlotte Hornets,90,Toronto Raptors,96,0,0,0,0,0,0,0,0
San Antonio Spurs,88,Utah Jazz,86,0,0,0,0,0,0,0,0
New Orleans Pelicans,97,Boston Celtics,104,0,0,0,0,0,0,0,0
Houston Rockets,86,Dallas Mavericks,88,0,0,0,0,0,0,0,0
Cleveland Cavaliers,109,Indiana Pacers,123,0,0,0,0,0,0,0,0
Los Angeles Clippers,91,Los Angeles Lakers,81,0,0,0,0,0,0,0,0
Charlotte Hornets,111,New York Knicks,97,0,0,0,0,0,0,0,0
Detroit Pistons,108,Orlando Magic,104,0,0,0,0,0,0,0,0
Oklahoma City Thunder,115,Portland Trail Blazers,120,0,0,0,0,0,0,0,0
Brooklyn Nets,103,Washington Wizards,121,0,0,0,0,0,0,0,0
Toronto Raptors,87,Atlanta Hawks,95,0,0,0,0,0,0,0,0
San Antonio Spurs,101,Golden State Warriors,112,0,0,0,0,0,0,0,0
Phoenix Suns,124,Houston Rockets,115,0,0,0,0,0,0,0,0
Chicago Bulls,98,Miami Heat,106,0,0,0,0,0,0,0,0
Minnesota Timberwolves,105,Sacramento Kings,97,0,0,0,0,0,0,0,0
Milwaukee Bucks,109,Boston Celtics,124,0,0,0,0,0,0,0,0
Brooklyn Nets,99,Charlotte Hornets,113,0,0,0,0,0,0,0,0
Memphis Grizzlies,93,Dallas Mavericks,103,0,0,0,0,0,0,0,0
San Antonio Spurs,98,Denver Nuggets,102,0,0,0,0,0,0,0,0
Washington Wizards,99,Detroit Pistons,112,0,0,0,0,0,0,0,0
Los Angeles Lakers,102,New Orleans Pelicans,110,0,0,0,0,0,0,0,0
Miami Heat,109,Orlando Magic,112,0,0,0,0,0,0,0,0
New York Knicks,109,Philadelphia 76ers,102,0,0,0,0,0,0,0,0
Indiana Pacers,98,Toronto Raptors,111,0,0,0,0,0,0,0,0
Los Angeles Clippers,102,Utah Jazz,99,0,0,0,0,0,0,0,0
Boston Celtics,107,Atlanta Hawks,118,0,0,0,0,0,0,0,0
Cleveland Cavaliers,102,Chicago Bulls,105,0,0,0,0,0,0,0,0
Golden State Warriors,100,Memphis Grizzlies,99,0,0,0,0,0,0,0,0
Phoenix Suns,121,New Orleans Pelicans,100,0,0,0,0,0,0,0,0
Minnesota Timberwolves,106,Portland Trail Blazers,105,0,0,0,0,0,0,0,0
Oklahoma City Thunder,112,Sacramento Kings,114,0,0,0,0,0,0,0,0
Utah Jazz,100,Denver Nuggets,84,0,0,0,0,0,0,0,0
Los Angeles Lakers,110,Houston Rockets,130,0,0,0,0,0,0,0,0
Brooklyn Nets,105,Indiana Pacers,129,0,0,0,0,0,0,0,0
Dallas Mavericks,91,Los Angeles Clippers,98,0,0,0,0,0,0,0,0
Orlando Magic,96,Miami Heat,118,0,0,0,0,0,0,0,0
Toronto Raptors,93,New York Knicks,89,0,0,0,0,0,0,0,0
Milwaukee Bucks,109,Philadelphia 76ers,108,0,0,0,0,0,0,0,0
Golden State Warriors,92,San Antonio Spurs,86,0,0,0,0,0,0,0,0
Charlotte Hornets,98,Washington Wizards,113,0,0,0,0,0,0,0,0
Charlotte Hornets,114,Boston Celtics,100,0,0,0,0,0,0,0,0
Washington Wizards,120,Brooklyn Nets,111,0,0,0,0,0,0,0,0
Atlanta Hawks,94,Cleveland Cavaliers,109,0,0,0,0,0,0,0,0
Houston Rockets,129,Minnesota Timberwolves,105,0,0,0,0,0,0,0,0
Chicago Bulls,121,New Orleans Pelicans,116,0,0,0,0,0,0,0,0
Los Angeles Lakers,79,Oklahoma City Thunder,112,0,0,0,0,0,0,0,0
Milwaukee Bucks,98,Orlando Magic,107,0,0,0,0,0,0,0,0
Sacramento Kings,105,Phoenix Suns,101,0,0,0,0,0,0,0,0
Dallas Mavericks,101,Utah Jazz,92,0,0,0,0,0,0,0,0
Miami Heat,99,Detroit Pistons,93,0,0,0,0,0,0,0,0
New York Knicks,90,Indiana Pacers,102,0,0,0,0,0,0,0,0
Memphis Grizzlies,84,Los Angeles Clippers,110,0,0,0,0,0,0,0,0
Oklahoma City Thunder,98,San Antonio Spurs,102,0,0,0,0,0,0,0,0
Philadelphia 76ers,98,Toronto Raptors,122,0,0,0,0,0,0,0,0
Miami Heat,88,Boston Celtics,98,0,0,0,0,0,0,0,0
Toronto Raptors,103,Brooklyn Nets,96,0,0,0,0,0,0,0,0
Philadelphia 76ers,105,Chicago Bulls,115,0,0,0,0,0,0,0,0
Orlando Magic,103,Charlotte Hornets,117,0,0,0,0,0,0,0,0
Detroit Pistons,112,Cleveland Cavaliers,110,0,0,0,0,0,0,0,0
San Antonio Spurs,96,Dallas Mavericks,91,0,0,0,0,0,0,0,0
Memphis Grizzlies,104,Golden State Warriors,125,0,0,0,0,0,0,0,0
Sacramento Kings,81,Houston Rockets,116,0,0,0,0,0,0,0,0
Utah Jazz,96,Los Angeles Lakers,101,0,0,0,0,0,0,0,0
Indiana Pacers,97,Milwaukee Bucks,92,0,0,0,0,0,0,0,0
New Orleans Pelicans,109,Minnesota Timberwolves,144,0,0,0,0,0,0,0,0
Los Angeles Clippers,105,Phoenix Suns,114,0,0,0,0,0,0,0,0
Denver Nuggets,99,Portland Trail Blazers,107,0,0,0,0,0,0,0,0
Atlanta Hawks,98,Washington Wizards,109,0,0,0,0,0,0,0,0
